7_001	Pedagang Wonokromo Akan Dipindah ke Lokasi Baru.	Pedagang Wonokromo Akan Dipindah ke Lokasi Baru.
7_002	Pelajar Ikuti Ebtanas di Pengungsian.	Pelajar Ikuti Ebtanas di Pengungsian.
7_003	Pelaku Pasar Tak Terlampau Terpengaruh Hiruk-pikuk Politik.	Pelaku Pasar Tak Terlampau Terpengaruh Hiruk-pikuk Politik.
7_004	Pelatih kepala klub Nusa Mashuri.	Pelatih kepala klub Nu-sa Mas-huri.
7_005	Pelecehan seksual maupun verbal.	PelEcEhan sEksual maupun vErbal.
7_006	Peluang-peluang cantik yang didapat Kewell.	Peluang-peluang cantik yang didapat Ki-well.
7_007	Pemain bisa nyungsep sampai ke bawah.	Pemain bisa nyungsep sampai ke bawah.
7_008	Pemakaian telepon bulan ini berapa?	Pemakaian telepon bulan ini berapa?
7_009	Pemakaian telpon bulan ini berapa?	Pemakaian telpon bulan ini berapa?
7_010	Pemalsu uang yang beredar rampok sebuah bank.	Pemalsu uang yang berEdar rampok sebuah bank.
7_011	Pemasaran telpon seluler yang sudah tergilas oleh GSM ujar Yusuf Faisal.	Pemasaran telpon sElulEr yang sudah tergilas olEh GE-ES-EM ujar Yu-suf Fa-i-sal.
7_012	Pembacaan pleidoi oleh penasihat hukum.	Pembacaan plEi-doi olEh penasihat hukum.
7_013	Pembangunan lapangan golf dan Marina.	Pembangunan lapangan golf dan Marina.
7_014	Pembentukan Pansus Bulog Kurang Proporsional.	Pembentukan Pansus Bulog Kurang Pro-por-si-o-nal.
7_015	Pembentukan Pansus Bulog sudah kehilangan momentum dan relevansi.	Pembentukan Pansus Bulog sudah kehilangan momEntum dan rElEvansi.
7_016	Pembentukan profesionalisme fungsi hakim dipegang oleh MA.	Pembentukan profEsionalisme fungsi hakim dipegang olEh MA.
7_017	Pemberian vaksin itu harus melewati fase uji coba.	Pemberian vaksin itu harus melEwati fase uji coba.
7_018	Pembuatannya berapa hari?	Pembuatannya berapa hari?
7_019	Pembuatannya berapa lama?	Pembuatannya berapa lama?
7_020	Pembukaan juga dilakukan oleh Taj Hamad.	Pembukaan juga dilakukan olEh Taj Ha-mad.
7_021	Pemda DKI Diimbau Tuntaskan Soal Tawuran.	PEmda DE-KA-I Diimbau Tuntaskan Soal Tawuran.
7_022	Pemda Imbau Warga Tinggalkan DPRD.	PEmda Imbau Warga Tinggalkan DE-PE-ER-DE.
7_023	Pemerintah akan memberlakukan Nomor Pokok Wajib Zakat.	Pemerintah akan memberlakukan Nomor Pokok Wajib Zakat.
7_024	Pemerintah Belum Punya Konsep Jelas Persaingan global.	Pemerintah Belum Punya konsEp Jelas persaingan global.
7_025	Pemerintah harus melakukan langkah-langkah ofensif, melalui ekspansi APBN.	Pemerintah harus melakukan langkah-langkah ofEnsif, melalui Ekspansi A-PE-BE-EN.
7_026	Pemerintah Singapura Belum Komplain Serangan Asap.	Pemerintah Singapura Belum KomplEin Serangan Asap.
7_027	Pemilik warteg di Kebon Nanas.	Pemilik warteg di Kebon Nanas.
7_028	Pemilik warteg harus putar otak menentukan strategi penjualan untuk warungnya.	Pemilik warteg harus putar otak menentukan stratEgi penjualan untuk warungnya.
7_029	Pemimpin Umum dan Pemred Canang terpilih yaitu Eduardo Ermita melalui voting.	Pemimpin Umum dan pEmrEd Canang terpilih yaitu Eduardo Ermita melalui vo-ting.
7_030	Pemkab Bogor menjalankan fungsi kontrol.	PEmkab Bogor menjalankan fungsi kontrol.
7_031	Pemprov Jateng Menunda Hujan Buatan.	PEmprov Jateng Menunda Hujan Buatan.
7_032	Pemprov Sulteng diharapkan bisa menyosialisasikan rencana tersebut kepada masyarakat.	PEmprov Sulteng diharapkan bisa menyosialisasikan rencana tersebut kepada masyarakat.
7_033	Pemprov tetap mengambil langkah-langkah antisipatif.	PEmprov tetap mengambil langkah-langkah antisipatif.
7_034	Penangkapan dengan pukat harimau.	Penangkapan dengan pukat harimau.
7_035	Penangkapan pengedar heroin tidak berlaku untuk zona tunggal.	Penangkapan pengEdar hEroin tidak berlaku untuk zona tunggal.
7_036	Penangkapan terhadap Dodo Juanda.	Penangkapan terhadap Dodo Ju-an-da.
7_037	Penasihat hukum Klub Jalan-jalan.	Penasihat hukum Klub Jalan-jalan.
7_038	Penderita Leptospirosis Bisa Klaim Biaya Pengobatan.	Penderita LEp-tos-pi-ro-sis Bisa Klaim Biaya Pengobatan.
7_039	Penderitaan para korban yang lazim disebut jugun ianfu.	Penderitaan para korban yang lazim disebut ju-gun i-an-fu.
7_040	Penduduk Fajar Harapan juga takut.	Penduduk Fajar Harapan juga takut.
7_041	Penduduk menggunakan air payau dari sumur masyarakat.	Penduduk menggunakan air payau dari sumur masyarakat.
7_042	Penduduk umumnya malas keluar rumah.	Penduduk umumnya malas keluar rumah.
7_043	Penduduk Zimbabwe meninggalkan rumah menuju tempat pemilihan terdekat.	Penduduk ZimbabwE meninggalkan rumah menuju tempat pemilihan terdekat.
7_044	Penegasan ibu sebagai janda permaisuri cuma begitu.	Penegasan ibu sebagai janda permaisuri cuma begitu.
7_045	Pengacara Agfar yang menjenguk korban ledakan bom Slipi di UGD RSCM Jakarta.	Pengacara Ag-far yang menjenguk korban ledakan bom Slipi di U-GE-DE ER-ES-CE-EM Jakarta.
7_046	Pengagep muncul seperti mulai saat panen seperti ini, katanya.	Pengagep muncul seperti mulai saat panEn seperti ini, katanya.
7_047	Pengambilan aset hingga ke upaya paksa badan.	Pengambilan asEt hingga ke upaya paksa badan.
7_048	Pengcab yang dalam struktur birokrasi ada di bawah.	PEngcab yang dalam struktur birokrasi ada di bawah.
7_049	Pengelolaan lingkungan akan dibuat tata ruang atau zonasi.	Pengelolaan lingkungan akan dibuat tata ruang atau zonasi.
7_050	Pengganti Duta Besar Brunei untuk Indonesia.	Pengganti Duta Besar BrunEi untuk IndonEsia.
7_051	Penggunaan jalur alternatif hendaknya disertai pula dengan pengamanan oleh petugas.	Penggunaan jalur alternatif hendaknya disertai pula dengan pengamanan olEh petugas.
7_052	Penghentian permusuhan ini bukan berdamai untuk berperang lagi.	Penghentian permusuhan ini bukan berdamai untuk berperang lagi.
7_053	Pengungsi Timor Lorosae yang kembali ke kampung halamannya tidak dipaksa.	Pengungsi Timor LorosaE yang kembali ke kampung halamannya tidak dipaksa.
7_054	Pengunjung meningkat sekitar lima atau enam ribu orang.	Pengunjung meningkat sekitar lima atau enam ribu orang.
7_055	Penjelasan tentang aturan conference di Universitas Airlangga ungkap Mochtar.	Penjelasan tentang aturan konferens di UnivErsitas Airlangga ungkap Mokh-tar.
7_056	Penjelasan tentang cara conference yang berskala besar ujar Yahya Zaini.	Penjelasan tentang cara konferens yang berskala besar ujar Yah-ya Zai-ni.
7_057	Penyanyi cilik yang sedang populer datang untuk memeriahkan voli pantai ini urai dia.	Penyanyi cilik yang sedang populEr datang untuk memeriahkan voli pantai ini urai dia.
7_058	Penyanyi Hetty Koes Endang nggak mau orang Jawa!	Penyanyi HEtty Kus Endang enggamau orang Jawa!
7_059	Penyanyi pop lain yakni dari RRC serta Korea Utara dan Korea Selatan.	Penyanyi pop lain yakni dari ER-ER-CE serta KorEa Utara dan KorEa Selatan.
7_060	Penyegaran visi yang disiapkan Panitia Ad-Hoc Khusus di DPR.	Penyegaran visi yang disiapkan Panitia Ad-Hok Khusus di DE-PE-ER.
7_061	Penyewaan Pulau Wewenang Pemda, papar Rumsfeld dalam sebuah konferensi pers di Pentagon.	PenyEwaan Pulau Wewenang PEmda, papar Rums-feld dalam sebuah konferEnsi PErs di PEntagon.
7_062	Penyewanya adalah seseorang bernama Leo Chandra.	PenyEwanya adalah seseorang bernama LEo Chan-dra.
7_063	Penyu Hijau yang dulunya selalu singgah di pulau itu.	Penyu Hijau yang dulunya selalu singgah di pulau itu.
7_064	Penyuluhan untuk merealisasi rencana tersebut sejalan dengan tekad Polri.	Penyuluhan untuk merEalisasi rencana tersebut sejalan dengan tEkad Polri.
7_065	Perahu-perahu itu memang sering digunakan mahasiswa untuk alat transportasi.	Perahu-perahu itu MEmang sering digunakan mahasiswa untuk alat transportasi.
7_066	Perdagangan Plat cetak cenderung flat.	Perdagangan Plat cEtak cenderung flat.
7_067	Pergelaran wayang kulit padat Dewa Ruci oleh Ki Manteb.	Pergelaran wayang kulit padat DEwa Ruci olEh Ki Manteb.
7_068	Peringkat satu dunia Peter Gade.	Peringkat satu dunia Piter Gade.
7_069	Perjalanan Arsitek Dwifungsi ABRI.	Perjalanan Arsitek Dwifungsi ABRI.
7_070	Perjanjian kerjasama PT Kharisma Petro Gemilang, PT Modern Indolife dan PT Dong Jun Indo.	Perjanjian kerjasama PE-TE Kharisma PEtro Gemilang, PE-TE Modern Indolaif dan PE-TE Dong Jun Indo.
7_071	Perkembangan Shanghai juga membutuhkan dukungan dari daerah-daerah lain.	Perkembangan Shang-hai juga membutuhkan dukungan dari daErah-daErah lain.
7_072	Perlawanan dari korps hakim sangat gencar.	Perlawanan dari korps hakim sangat gencar.
7_073	Perlu adanya penjaminan selektif agar masyarakat ikut menanggung risiko.	Perlu adanya penjaminan sElEktif agar masyarakat ikut menanggung risiko.
7_074	Perlu Konsensus Kolektif Negara Islam Gunakan Minyak sebagai Senjata Penekan.	Perlu KonsEnsus KolEktif Negara Islam Gunakan Minyak sebagai Senjata Penekan.
7_075	Sepertinya kamu bakal perlu surat kuasa deh.	Sepertinya kamu bakal perlu surat kuasa dEh.
7_076	Perlu Uang Tunai Besar untuk Melikuidasi BII.	Perlu Uang Tunai Besar untuk Meli-ku-i-dasi BE-I-I.
7_077	Permainan judi berjenis togel semakin marak di Jatiuwung.	Permainan judi berjenis togEl semakin marak di Jatiuwung.
7_078	Dengan hasil remis ini perpecahan partai jadi fenomena menakutkan.	Dengan hasil rEmis ini, perpecahan partai jadi FEnomena menakutkan.
7_079	Perpu Otonomi Khusus Aceh Akan Diterbitkan.	PErpu Otonomi Khusus AcEh Akan Diterbitkan.
7_080	Pers bungkam soal Yubert Neis yang kini bermain di klub Skotlandia.	PErs bungkam soal Yubert NEis yang kini bermain di klub Skot-lan-dia.
7_081	Pers Jerman semuanya dituduh telah melanggar hukum dana kampanye federal.	PErs JErman semuanya dituduh telah melanggar hukum dana kampanye fEderal.
7_082	Persiapan sidang APEC di Shanghai RRC.	Persiapan sidang APEC di Shang-hai ER-ER-CE.
7_083	Personel Brimob dan Perintis melepaskan tembakan ke udara.	PersonEl Brimob dan Perintis melepaskan tEmbakan ke udara.
7_084	Persyaratan islah kan sebaik-baiknya orang bercerai lebih baik bersatu, dia berharap.	persyaratan islah kan, sebaik-baiknya orang bercerai lebih baik bersatu, dia berharap.
7_085	Film Cinta Elif bikin rating ANTV jadi meningkat di malam hari.	Filem Cinta Elif bikin reting AN-TEVE jadi meningkat di malam hari.
7_086	Persyaratan membuat KTP di Rancaekek dibuat rumit oleh oknum.	persyaratan membuat KA-TE-PE di RancaEkEk dibuat rumit olEh oknum.
7_087	Persyaratan mengurus KTP bisa pakai SMS?	persyaratan mengurus KA-TE-PE bisa pakai ES-EM-ES?
7_088	Kalau minta tarif naik persyaratannya apa saja sih?	Kalau minta tarif naik, persyaratannya apa saja sih?
7_089	Pertama, aku ingin mendengar bunyi gemercik air.	Pertama, aku ingin mendengar bunyi gemercik air.
7_090	Pertemuan antar kepala sektor yakni untuk menyegel gedung PBB sedunia.	Pertemuan antar kepala sEktor yakni untuk menyEgel gedung PE-BE-BE sedunia.
7_091	Perusahaan asuransi tersebut dinyatakan tidak pailit dan dapat beroperasi kembali.	Perusahaan asuransi tersebut dinyatakan tidak pailit dan dapat beroperasi kembali.
7_092	Perusahan-perusahaan raksasa di negeri tersebut berani menghadapi krisis sefrontal mungkin.	Perusahan-perusahaan raksasa di negeri tersebut berani menghadapi krisis sefrontal mungkin.
7_093	Pesawat itu akan dipindahkan ke Bandara Solo atau Yogyakarta.	Pesawat itu akan dipindahkan ke Bandara Solo atau Yogyakarta.
7_094	Petani Brebes lebih suka memakai produk Pupuk Kujang.	Petani Brebes lebih suka memakai produk Pupuk Kujang.
7_095	Petani diberi mesin pompa air yang tidak jelas mereknya.	Petani diberi mesin pompa air yang tidak jelas mEreknya.
7_096	Petugas Polsek Tanjungpriok menggerebek gudang minuman keras tanpa izin.	Petugas PolsEk Tanjungpriok menggerebek gudang minuman keras tanpa izin.
7_097	Peziarah ramai berdatangan menjelang bulan puasa.	Peziarah ramai berdatangan menjelang bulan puasa.
7_098	Philipina juga mengklaim wilayah tersebut.	Filipina juga mengklaim wilayah tersebut.
7_099	Pihak Depkeh sendiri membahas soal euthanasia sembilan puluh delapan orang.	Pihak DEpkEh sendiri membahas soal euthanasia sembilan puluh delapan orang.
7_100	Pihak Ditjen meminta keterangan Syeis tentang kelengkapan dokumen, pembelian barang.	Pihak DitjEn meminta keterangan SyEis tentang kelengkapan dokumEn pembelian barang.
7_101	Pihak Puslabfor Ofisial lalu memberikan ijin untuk memberikan obat.	Pihak Puslabfor Ofisial lalu memberikan ijin untuk memberikan obat.
7_102	Pihaknya juga melakukan koordinasi ekstern dengan negara-negara Islam di dunia.	Pihaknya juga melakukan koordinasi Ekstern dengan negara-negara Islam di dunia.
7_103	Pilih dialog Semasa hidupnya.	Pilih dialog Semasa hidupnya.
7_104	Pilih perkosa atau nyawa ancam Felix sambil menodongkan pisau.	Pilih perkosa atau nyawa ancam Feliks sambil menodongkan pisau.
7_105	Pilih sejago-jagonya pelatih untuk cabang golf.	Pilih sejago-jagonya pelatih untuk cabang golf.
7_106	Pilihan disuplai ke Sarawak atau Jerman.	Pilihan disuplai ke Sarawak atau JErman.
7_107	Kalau nggak pakai jilbab dia nggak ngerasa nyaman.	Kalau engga pakai jilbab dia engga ngerasa nyaman.
7_108	Prasetyo Utomo Anderson dipilih sebagai kepala bagian pembangunan produk multimedia.	Prasetyo Utomo Anderson dipilih sebagai kepala bagian pembangunan produk multimEdia.
7_109	Dengan tasawuf tersebut Hasyim Wahid merasa lebih yakin kepada Allah SWT.	Dengan tasawuf tersebut Hasyim Wahid merasa lebih yakin kepada Aw-loh ES-WE-TE.
7_110	Kalau ia salah ngecek nilainya akan turun.	Kalau ia salah ngecEk nilainya akan turun.
7_111	Pisau belati ngambilnya dimana ya?	Pisau belati ngambilnya dimana ya?
7_112	Pisau untuk menakut-nakuti saksi.	Pisau untuk menakut-nakuti saksi.
7_113	PKB Imbau Elite Politik Hentikan Konflik.	PE-KA-BE Imbau Elit Politik Hentikan Kon-flik.
7_114	PKS dengan mitra Telkom yang sama-sama meraih nilai empat ujar Yakob Muchsin.	PE-KA-ES dengan mitra TElkom yang sama-sama meraih nilai empat ujar Yakob Mukhsin.
7_115	PLO ibarat negara dalam negara di Lebanon saat itu.	PE-EL-O ibarat negara dalam negara di Libanon saat itu.
7_116	Pokoknya harus ngirit verbal dan ekonomi terhadap istrinya.	Pokoknya harus ngirit vErbal dan Ekonomi terhadap istrinya.
7_117	Polda jabar yang membuat MU terpental ke urutan kedua klasemen.	Polda jabar yang membuat EM-YU terpental ke urutan kedua klasemEn.
7_118	Dari ihwal itu, Polda Jatim Lacak Pemalsu Onderdil Astra.	Dari ihwal itu, Polda Jatim Lacak Pemalsu Onderdil Astra.
7_119	Polda Metro Ungkap Kasus Narkotik di Tanah Abang.	Polda MEtro Ungkap Kasus Narkotik di Tanah Abang.
7_120	Polisi melarangnya bertemu empat mata dengan Rahmat di Pondok Cabe Ilir.	Polisi melarangnya bertemu empat mata dengan Rahmat di Pondok CabE Ilir.
7_121	Polisi mengejar Ahmed dan menembaknya di kawasan Taman Mini.	Polisi mengejar AhmEd dan menEmbaknya di kawasan Taman Mini.
7_122	Polisi pun mengizinkan Ponco Sutowo tinggal di Pondok Hijau Permai.	Polisi pun mengizinkan Ponco Sutowo tinggal di Pondok Hijau Permai.
7_123	Polres Jakarta Pusat Menyerahkan Enam Warga Jerman ke Imigrasi.	PolrEs Jakarta Pusat Menyerahkan Enam Warga JErman ke Imigrasi.
7_124	POM TNI pergi ke Timor Lorosae atau tidak.	POM TE-EN-I pergi ke Timor LorosaE atau tidak.
7_125	Ponco tidak menjawab dengan tegas walaupun sudah memutuskan untuk pergi ke Ancol.	Ponco tidak menjawab dengan tegas walaupun sudah memutuskan untuk pergi ke Ancol.
7_126	Pos darurat itu disokong bahu-membahu oleh aparat Pemerintah Daerah.	Pos darurat itu disokong bahu-membahu olEh aparat Pemerintah daErah.
7_127	Posisi anda dimana? Di Merauke atau Jawa?	Posisi anda dimana? Di MeraukE atau Jawa?
7_128	Posisi Howard tetap stabil sampai kini.	Posisi Ho-ward tetap stabil sampai kini.
7_129	Posisi panglima Kostrad akan diserahkan ke Mayjen Bibit Waluyo.	Posisi panglima Kostrad akan diserahkan ke mayjEn Bibit Waluyo.
7_130	Posko banjir Jakarta Timur yang kebetulan mengenal Syofian langsung menghubunginya.	Posko banjir Jakarta Timur yang kebetulan mengenal Syo-fi-an langsung menghubunginya.
7_131	Posko RW yang dikelola oleh Yayasan Azzahra.	Posko ER-WE yang dikelola olEh Yayasan Az-zah-ra.
7_132	Presiden Kembali Tinjau Lokasi Banjir di Cengkareng.	prEsidEn Kembali Tinjau Lokasi Banjir di CengkarEng.
7_133	Presiden meminta dana Brunei tanpa menggunakan simbol-simbol Kepresidenan.	prEsidEn meminta dana BrunEi tanpa menggunakan simbol-simbol KeprEsidEnan.
7_134	Presiden mensyukuri posisi posko aparat dua unit tetap fleksibel.	prEsidEn mensyukuri posisi posko aparat dua unit tetap flEksibel.
7_135	Presiden Setuju Enam Juru Runding GAM Dilepas kembali ke Rata dan Banda Khalifah.	prEsidEn Setuju Enam Juru Runding GAM Dilepas kembali ke Rata dan Banda Khalifah.
7_136	Privatisasi Ala IMF Upaya Merampok BUMN.	Privatisasi Ala I-EM-EF Upaya Merampok BE-U-EM-EN.
7_137	Privatisasi Bermasalah karena Pemerintah Tak Punya Platform Jelas.	Privatisasi Bermasalah karena Pemerintah Tak Punya Platform Jelas.
7_138	PRJ lebih membidik pasar domestik.	PE-ER-JE lebih membidik pasar domEstik.
7_139	PRJ yang menjadi ajang promosi.	PE-ER-JE yang menjadi ajang promosi.
7_140	Problem psikologis akan muncul karena ini menyangkut kekuasaan, katanya.	Problem psikologis akan muncul karena ini menyangkut kekuasaan, katanya.
7_141	Produk Hukum Zaman Belanda Perlu Direvisi.	Produk Hukum Zaman Belanda Perlu dirEvisi.
7_142	Produk ke tiga belas tidak boikot.	Produk ke tiga belas tidak boy-kot.
7_143	Program penghematan yang dihimbau oleh Presiden Megawati.	Program penghEmatan yang dihimbau olEh prEsidEn MEgawati.
7_144	Prosedurnya gimana sih?	Prosedurnya gimana sih?
7_145	Proses akte kelahiran anak saya sampai dimana?	prosEs akte kelahiran anak saya sampai dimana?
7_146	Dalam hal ini ia menggarap horizon telah melanggar hak cipta.	Dalam hal ini ia menggarap horizon telah melanggar hak cipta.
7_147	Proses HGB, IMB, KK, KTP, NPWP, PBB, SHM saya sampai dimana?	prosEs HA-GE-BE, I-EM-BE, KA-KA, KA-TE-PE, EN-PE-WE-PE, PE-BE-BE, ES-HA-EM saya sampai dimana?
7_148	Proses pembuatannya berapa hari?	prosEs pembuatannya berapa hari?
7_149	Proses pembuatannya berapa lama?	prosEs pembuatannya berapa lama?
7_150	Prosesnya gimana sih?	ProsEsnya gimana sih?
7_151	Provost, Intelpam, Psikolog dan psikiater.	Provost, IntElpam, Psikolog dan psikiater.
7_152	PT Jasa Marga juga sedang membangun jalan tol rute Cawang-Tomang-Pluit.	PE-TE Jasa Marga juga sedang membangun jalan tol rute Cawang-Tomang-Pluit.
7_153	PT Telkom cukup khawatir menghadapi kondisi ini.	PE-TE TElkom cukup khawatir menghadapi kondisi ini.
